instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,count
276,04-11-2012,Fall,2012,November,8,No Holiday,Sunday,Working Day,Cloudy or Light Rain,499
277,15-05-2012,Spring,2012,May,1,No Holiday,Tuesday,Non-Working Day,Light Rain or Mist,42
278,20-11-2011,Fall,2011,November,15,No Holiday,Sunday,Working Day,Cloudy or Light Rain,112
279,25-02-2011,Winter,2011,February,2,No Holiday,Friday,Working Day,Heavy Snow or Rain,5
280,20-07-2012,Summer,2012,July,6,No Holiday,Friday,Working Day,Clear or Partly Cloudy,144
281,10-11-2011,Fall,2011,November,2,No Holiday,Thursday,Working Day,Cloudy or Light Rain,12
282,08-05-2012,Spring,2012,May,1,No Holiday,Tuesday,Non-Working Day,Light Rain or Mist,141
283,27-04-2011,Spring,2011,April,21,No Holiday,Wednesday,Working Day,Light Rain or Mist,248
284,24-07-2012,Summer,2012,July,17,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,781
285,16-06-2011,Summer,2011,June,21,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,6
286,07-12-2011,Winter,2011,December,1,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,7
287,14-03-2011,Spring,2011,March,18,No Holiday,Monday,Working Day,Light Rain or Mist,441
288,10-09-2011,Fall,2011,September,19,No Holiday,Saturday,Working Day,Cloudy or Light Rain,397
289,17-06-2011,Summer,2011,June,1,No Holiday,Friday,Working Day,Clear or Partly Cloudy,12
290,11-01-2011,Winter,2011,January,18,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,189
291,20-07-2012,Summer,2012,July,18,No Holiday,Friday,Non-Working Day,Clear or Partly Cloudy,96
292,04-05-2012,Spring,2012,May,4,No Holiday,Friday,Working Day,Light Rain or Mist,7
293,01-10-2012,Fall,2012,October,6,No Holiday,Monday,Working Day,Cloudy or Light Rain,172
294,28-12-2012,Winter,2012,December,22,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,157
295,28-11-2011,Fall,2011,November,16,Holiday,Monday,Non-Working Day,Cloudy or Light Rain,452
296,19-04-2011,Spring,2011,April,10,No Holiday,Tuesday,Working Day,Light Rain or Mist,31
297,18-08-2012,Summer,2012,August,23,No Holiday,Saturday,Non-Working Day,Clear or Partly Cloudy,163
298,22-08-2011,Summer,2011,August,14,No Holiday,Monday,Working Day,Clear or Partly Cloudy,137
299,25-03-2011,Spring,2011,March,20,No Holiday,Friday,Non-Working Day,Light Rain or Mist,183
300,17-02-2011,Winter,2011,February,7,No Holiday,Thursday,Working Day,Heavy Snow or Rain,68
301,20-03-2012,Spring,2012,March,21,No Holiday,Tuesday,Non-Working Day,Light Rain or Mist,316
302,03-10-2012,Fall,2012,October,12,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,332
303,28-08-2012,Summer,2012,August,6,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,127
304,28-12-2011,Winter,2011,December,22,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,139
305,23-08-2012,Summer,2012,August,17,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,627
306,27-04-2012,Spring,2012,April,18,No Holiday,Friday,Working Day,Light Rain or Mist,782
307,10-05-2012,Spring,2012,May,17,No Holiday,Thursday,Working Day,Light Rain or Mist,842
308,15-04-2012,Spring,2012,April,19,No Holiday,Sunday,Working Day,Light Rain or Mist,514
309,15-10-2011,Fall,2011,October,18,No Holiday,Saturday,Non-Working Day,Cloudy or Light Rain,163
310,01-11-2012,Fall,2012,November,15,No Holiday,Thursday,Working Day,Cloudy or Light Rain,246
311,12-06-2011,Summer,2011,June,22,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,46
312,01-06-2011,Summer,2011,June,19,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,165
313,28-04-2012,Spring,2012,April,20,No Holiday,Saturday,Non-Working Day,Light Rain or Mist,194
314,16-02-2012,Winter,2012,February,23,No Holiday,Thursday,Working Day,Heavy Snow or Rain,84
315,18-03-2012,Spring,2012,March,22,No Holiday,Sunday,Working Day,Light Rain or Mist,170
316,14-08-2011,Summer,2011,August,5,No Holiday,Sunday,Non-Working Day,Clear or Partly Cloudy,14
317,25-01-2011,Winter,2011,January,5,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,7
318,19-07-2012,Summer,2012,July,0,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,11
319,13-07-2011,Summer,2011,July,10,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,129
320,22-01-2012,Winter,2012,January,22,No Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,66
321,25-02-2012,Winter,2012,February,9,No Holiday,Saturday,Non-Working Day,Heavy Snow or Rain,179
322,18-01-2012,Winter,2012,January,19,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,633
323,14-08-2011,Summer,2011,August,7,No Holiday,Sunday,Non-Working Day,Clear or Partly Cloudy,57
324,04-12-2012,Winter,2012,December,14,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,129
325,07-02-2012,Winter,2012,February,10,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,184
326,17-01-2012,Winter,2012,January,15,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,209
327,18-09-2011,Fall,2011,September,17,No Holiday,Sunday,Non-Working Day,Cloudy or Light Rain,232
328,25-12-2011,Winter,2011,December,3,No Holiday,Sunday,Working Day,Heavy Snow or Rain,2
329,26-03-2012,Spring,2012,March,2,No Holiday,Monday,Non-Working Day,Light Rain or Mist,42
330,07-07-2011,Summer,2011,July,7,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,302
331,22-02-2012,Winter,2012,February,17,No Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,67
332,16-07-2011,Summer,2011,July,10,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,115
333,16-02-2011,Winter,2011,February,19,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,101
334,13-06-2012,Summer,2012,June,3,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,3
335,02-04-2011,Spring,2011,April,13,No Holiday,Saturday,Working Day,Light Rain or Mist,166
336,11-05-2011,Spring,2011,May,13,No Holiday,Wednesday,Non-Working Day,Light Rain or Mist,355
337,10-04-2012,Spring,2012,April,19,No Holiday,Tuesday,Working Day,Light Rain or Mist,174
338,22-05-2012,Spring,2012,May,9,No Holiday,Tuesday,Working Day,Light Rain or Mist,316
339,09-05-2012,Spring,2012,May,2,No Holiday,Wednesday,Non-Working Day,Light Rain or Mist,93
340,07-02-2011,Winter,2011,February,1,No Holiday,Monday,Working Day,Heavy Snow or Rain,22
341,01-07-2011,Summer,2011,July,0,No Holiday,Friday,Non-Working Day,Clear or Partly Cloudy,39
342,07-05-2011,Spring,2011,May,12,No Holiday,Saturday,Working Day,Light Rain or Mist,196
343,12-06-2011,Summer,2011,June,23,No Holiday,Sunday,Non-Working Day,Clear or Partly Cloudy,131
344,25-04-2011,Spring,2011,April,10,No Holiday,Monday,Non-Working Day,Light Rain or Mist,297
345,28-08-2012,Summer,2012,August,11,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,202
346,02-01-2011,Winter,2011,January,0,No Holiday,Sunday,Working Day,Heavy Snow or Rain,5
347,21-12-2012,Winter,2012,December,22,No Holiday,Friday,Working Day,Heavy Snow or Rain,197
348,06-06-2011,Summer,2011,June,10,No Holiday,Monday,Non-Working Day,Clear or Partly Cloudy,304
349,16-02-2011,Winter,2011,February,9,No Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,170
350,16-10-2012,Fall,2012,October,13,No Holiday,Tuesday,Non-Working Day,Cloudy or Light Rain,651
351,04-12-2011,Winter,2011,December,13,No Holiday,Sunday,Working Day,Heavy Snow or Rain,196
352,28-10-2011,Fall,2011,October,7,No Holiday,Friday,Working Day,Cloudy or Light Rain,37
353,26-02-2012,Winter,2012,February,21,No Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,230
354,05-06-2012,Summer,2012,June,4,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,2
355,27-04-2012,Spring,2012,April,12,No Holiday,Friday,Non-Working Day,Light Rain or Mist,668
356,20-11-2011,Fall,2011,November,4,No Holiday,Sunday,Working Day,Cloudy or Light Rain,3
357,01-04-2011,Spring,2011,April,0,No Holiday,Friday,Working Day,Light Rain or Mist,8
358,19-08-2012,Summer,2012,August,14,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,119
359,07-10-2012,Fall,2012,October,12,No Holiday,Sunday,Working Day,Cloudy or Light Rain,110
360,05-09-2011,Fall,2011,September,15,No Holiday,Monday,Working Day,Cloudy or Light Rain,185
361,08-10-2011,Fall,2011,October,18,No Holiday,Saturday,Working Day,Cloudy or Light Rain,235
362,10-09-2012,Fall,2012,September,15,No Holiday,Monday,Working Day,Cloudy or Light Rain,214
363,28-07-2011,Summer,2011,July,11,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,192
364,04-01-2012,Winter,2012,January,10,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,78
365,09-07-2012,Summer,2012,July,13,No Holiday,Monday,Working Day,Clear or Partly Cloudy,222
366,15-09-2012,Fall,2012,September,3,No Holiday,Saturday,Working Day,Cloudy or Light Rain,3
367,20-08-2012,Summer,2012,August,5,No Holiday,Monday,Working Day,Clear or Partly Cloudy,35
368,04-01-2012,Winter,2012,January,22,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,318
369,20-07-2012,Summer,2012,July,1,No Holiday,Friday,Working Day,Clear or Partly Cloudy,2
370,13-11-2011,Fall,2011,November,13,No Holiday,Sunday,Non-Working Day,Cloudy or Light Rain,436
371,08-06-2012,Summer,2012,June,15,No Holiday,Friday,Non-Working Day,Clear or Partly Cloudy,724
372,14-06-2012,Summer,2012,June,21,No Holiday,Thursday,Non-Working Day,Clear or Partly Cloudy,71
373,26-07-2011,Summer,2011,July,1,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,16
374,22-02-2012,Winter,2012,February,16,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,288
375,22-09-2011,Fall,2011,September,10,No Holiday,Thursday,Non-Working Day,Cloudy or Light Rain,298
376,01-03-2012,Spring,2012,March,16,No Holiday,Thursday,Non-Working Day,Light Rain or Mist,164
377,28-10-2011,Fall,2011,October,2,No Holiday,Friday,Working Day,Cloudy or Light Rain,8
378,20-05-2011,Spring,2011,May,17,No Holiday,Friday,Working Day,Light Rain or Mist,558
379,18-05-2012,Spring,2012,May,11,No Holiday,Friday,Working Day,Light Rain or Mist,180
380,25-05-2011,Spring,2011,May,6,No Holiday,Wednesday,Working Day,Light Rain or Mist,36
381,23-09-2012,Fall,2012,September,14,No Holiday,Sunday,Working Day,Cloudy or Light Rain,271
382,24-07-2011,Summer,2011,July,3,No Holiday,Sunday,Non-Working Day,Clear or Partly Cloudy,47
383,25-10-2011,Fall,2011,October,0,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,32
384,12-06-2011,Summer,2011,June,22,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,165
385,14-07-2012,Summer,2012,July,23,No Holiday,Saturday,Non-Working Day,Clear or Partly Cloudy,59
386,19-10-2012,Fall,2012,October,11,No Holiday,Friday,Non-Working Day,Cloudy or Light Rain,414
387,03-08-2011,Summer,2011,August,19,No Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,183
388,17-08-2011,Summer,2011,August,20,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,269
389,04-08-2011,Summer,2011,August,9,Holiday,Thursday,Non-Working Day,Clear or Partly Cloudy,238
390,10-03-2012,Spring,2012,March,22,No Holiday,Saturday,Working Day,Light Rain or Mist,224
391,11-02-2012,Winter,2012,February,10,No Holiday,Saturday,Working Day,Heavy Snow or Rain,249
392,10-05-2011,Spring,2011,May,22,No Holiday,Tuesday,Working Day,Light Rain or Mist,89
393,23-12-2012,Winter,2012,December,23,No Holiday,Sunday,Working Day,Heavy Snow or Rain,79
394,26-06-2011,Summer,2011,June,20,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,210
395,09-08-2012,Summer,2012,August,1,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,9
396,20-04-2011,Spring,2011,April,15,No Holiday,Wednesday,Non-Working Day,Light Rain or Mist,480
397,09-02-2011,Winter,2011,February,4,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,1
398,17-03-2012,Spring,2012,March,20,No Holiday,Saturday,Working Day,Light Rain or Mist,296
399,19-08-2011,Summer,2011,August,3,No Holiday,Friday,Working Day,Clear or Partly Cloudy,7
400,26-10-2011,Fall,2011,October,6,No Holiday,Wednesday,Non-Working Day,Cloudy or Light Rain,4
401,24-04-2011,Spring,2011,April,22,No Holiday,Sunday,Working Day,Light Rain or Mist,55
402,15-05-2011,Spring,2011,May,19,No Holiday,Sunday,Working Day,Light Rain or Mist,391
403,08-08-2011,Summer,2011,August,16,No Holiday,Monday,Working Day,Clear or Partly Cloudy,419
404,20-05-2011,Spring,2011,May,19,No Holiday,Friday,Working Day,Light Rain or Mist,347
405,02-01-2012,Winter,2012,January,7,No Holiday,Monday,Working Day,Heavy Snow or Rain,418
406,17-08-2011,Summer,2011,August,6,Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,16
407,01-12-2011,Winter,2011,December,23,No Holiday,Thursday,Working Day,Heavy Snow or Rain,15
408,23-01-2011,Winter,2011,January,13,No Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,221
409,01-01-2012,Winter,2012,January,1,No Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,109
410,13-01-2012,Winter,2012,January,8,No Holiday,Friday,Working Day,Heavy Snow or Rain,579
411,26-09-2012,Fall,2012,September,10,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,164
412,04-06-2012,Summer,2012,June,18,No Holiday,Monday,Working Day,Clear or Partly Cloudy,410
413,20-04-2012,Spring,2012,April,2,No Holiday,Friday,Working Day,Light Rain or Mist,4
414,20-08-2012,Summer,2012,August,4,No Holiday,Monday,Non-Working Day,Clear or Partly Cloudy,16
415,07-02-2011,Winter,2011,February,2,Holiday,Monday,Non-Working Day,Heavy Snow or Rain,39
416,07-09-2012,Fall,2012,September,16,No Holiday,Friday,Working Day,Cloudy or Light Rain,360
417,28-06-2012,Summer,2012,June,13,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,64
418,01-10-2011,Fall,2011,October,21,No Holiday,Saturday,Non-Working Day,Cloudy or Light Rain,114
419,06-07-2011,Summer,2011,July,10,No Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,215
420,01-08-2012,Summer,2012,August,16,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,466
421,11-07-2011,Summer,2011,July,5,No Holiday,Monday,Working Day,Clear or Partly Cloudy,26
422,21-09-2011,Fall,2011,September,22,No Holiday,Wednesday,Non-Working Day,Cloudy or Light Rain,117
423,01-09-2011,Fall,2011,September,0,No Holiday,Thursday,Working Day,Cloudy or Light Rain,37
424,18-12-2011,Winter,2011,December,0,No Holiday,Sunday,Working Day,Heavy Snow or Rain,8
425,17-03-2011,Spring,2011,March,17,No Holiday,Thursday,Working Day,Light Rain or Mist,331
426,19-04-2012,Spring,2012,April,14,No Holiday,Thursday,Working Day,Light Rain or Mist,365
427,21-10-2011,Fall,2011,October,22,No Holiday,Friday,Working Day,Cloudy or Light Rain,143
428,28-08-2012,Summer,2012,August,6,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,165
429,03-11-2012,Fall,2012,November,20,Holiday,Saturday,Non-Working Day,Cloudy or Light Rain,90
430,09-09-2012,Fall,2012,September,2,No Holiday,Sunday,Working Day,Cloudy or Light Rain,11
431,09-01-2012,Winter,2012,January,14,No Holiday,Monday,Working Day,Heavy Snow or Rain,255
432,26-07-2011,Summer,2011,July,5,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,22
433,21-04-2011,Spring,2011,April,20,No Holiday,Thursday,Non-Working Day,Light Rain or Mist,86
434,01-05-2012,Spring,2012,May,20,No Holiday,Tuesday,Working Day,Light Rain or Mist,329
435,16-05-2011,Spring,2011,May,8,No Holiday,Monday,Working Day,Light Rain or Mist,487
436,08-07-2012,Summer,2012,July,0,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,32
437,07-10-2012,Fall,2012,October,18,No Holiday,Sunday,Working Day,Cloudy or Light Rain,233
438,21-05-2011,Spring,2011,May,19,No Holiday,Saturday,Working Day,Light Rain or Mist,396
439,04-06-2011,Summer,2011,June,14,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,303
440,25-03-2012,Spring,2012,March,11,No Holiday,Sunday,Non-Working Day,Light Rain or Mist,445
441,21-05-2011,Spring,2011,May,16,No Holiday,Saturday,Working Day,Light Rain or Mist,245
442,17-03-2012,Spring,2012,March,11,No Holiday,Saturday,Working Day,Light Rain or Mist,112
443,04-09-2012,Fall,2012,September,3,No Holiday,Tuesday,Non-Working Day,Cloudy or Light Rain,57
444,12-01-2012,Winter,2012,January,12,No Holiday,Thursday,Working Day,Heavy Snow or Rain,247
445,04-01-2012,Winter,2012,January,3,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,4
446,15-02-2011,Winter,2011,February,19,No Holiday,Tuesday,Non-Working Day,Heavy Snow or Rain,264
447,10-06-2012,Summer,2012,June,4,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,2
448,14-03-2011,Spring,2011,March,23,No Holiday,Monday,Working Day,Light Rain or Mist,69
449,04-06-2012,Summer,2012,June,0,No Holiday,Monday,Non-Working Day,Clear or Partly Cloudy,59
450,27-11-2011,Fall,2011,November,3,No Holiday,Sunday,Working Day,Cloudy or Light Rain,5
451,12-09-2012,Fall,2012,September,7,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,478
452,16-01-2011,Winter,2011,January,13,No Holiday,Sunday,Working Day,Heavy Snow or Rain,192
453,25-04-2012,Spring,2012,April,7,No Holiday,Wednesday,Non-Working Day,Light Rain or Mist,95
454,07-07-2012,Summer,2012,July,20,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,280
455,28-07-2011,Summer,2011,July,11,No Holiday,Thursday,Non-Working Day,Clear or Partly Cloudy,72
456,01-04-2011,Spring,2011,April,1,No Holiday,Friday,Working Day,Light Rain or Mist,12
457,12-10-2012,Fall,2012,October,21,No Holiday,Friday,Working Day,Cloudy or Light Rain,151
458,06-09-2011,Fall,2011,September,23,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,58
459,07-04-2012,Spring,2012,April,14,No Holiday,Saturday,Working Day,Light Rain or Mist,348
460,22-09-2012,Fall,2012,September,3,No Holiday,Saturday,Non-Working Day,Cloudy or Light Rain,26
461,19-09-2012,Fall,2012,September,2,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,12
462,08-04-2011,Spring,2011,April,12,No Holiday,Friday,Non-Working Day,Light Rain or Mist,358
463,22-11-2012,Fall,2012,November,6,No Holiday,Thursday,Non-Working Day,Cloudy or Light Rain,19
464,26-08-2012,Summer,2012,August,4,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,5
465,16-04-2012,Spring,2012,April,5,No Holiday,Monday,Working Day,Light Rain or Mist,41
466,08-11-2011,Fall,2011,November,12,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,124
467,09-07-2011,Summer,2011,July,17,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,425
468,28-10-2011,Fall,2011,October,15,No Holiday,Friday,Working Day,Cloudy or Light Rain,60
469,21-02-2011,Winter,2011,February,8,No Holiday,Monday,Working Day,Heavy Snow or Rain,456
470,16-08-2011,Summer,2011,August,4,No Holiday,Tuesday,Non-Working Day,Clear or Partly Cloudy,13
471,09-01-2011,Winter,2011,January,23,No Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,69
472,07-01-2012,Winter,2012,January,6,No Holiday,Saturday,Working Day,Heavy Snow or Rain,213
473,06-10-2011,Fall,2011,October,15,No Holiday,Thursday,Non-Working Day,Cloudy or Light Rain,294
474,21-11-2012,Fall,2012,November,7,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,246
475,24-09-2011,Fall,2011,September,23,No Holiday,Saturday,Non-Working Day,Cloudy or Light Rain,8
476,07-07-2012,Summer,2012,July,13,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,137
477,25-02-2011,Winter,2011,February,21,No Holiday,Friday,Working Day,Heavy Snow or Rain,48
478,24-07-2011,Summer,2011,July,13,No Holiday,Sunday,Non-Working Day,Clear or Partly Cloudy,472
479,12-11-2012,Fall,2012,November,10,No Holiday,Monday,Non-Working Day,Cloudy or Light Rain,191
480,20-11-2011,Fall,2011,November,8,No Holiday,Sunday,Working Day,Cloudy or Light Rain,216
481,05-08-2012,Summer,2012,August,11,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,178
482,27-12-2011,Winter,2011,December,2,No Holiday,Tuesday,Non-Working Day,Heavy Snow or Rain,46
